"sex","age","sub_of_study_grouped","level_of_educ","urban","eu_active","nat_active","loc_active","not_active","salience","left_right","voting_eu","voting_nat","voting_kom","aff_1","aff_2","aff_3","aff_4","aff_5","aff_6","aff_7","aff_8","aff_9","aff_10","aff_11","aff_12","aff_13","aff_14","aff_15","aff_16","aff_17","aff_18","aff_19","aff_20","dem_eu_1","dem_eu_2","dem_eu_3","dem_eu_4","dem_eu_5","dem_eu_6","dem_eu_7","dem_eu_8","dem_eu_9","dem_eu_10","dem_nat_1","dem_nat_2","dem_nat_3","dem_nat_4","dem_nat_5","dem_nat_6","dem_nat_7","dem_nat_8","dem_nat_9","dem_nat_10","dem_loc_1","dem_loc_2","dem_loc_3","dem_loc_4","dem_loc_5","dem_loc_6","dem_loc_7","dem_loc_8","dem_loc_9","dem_loc_10","input_eu_1","input_eu_2","input_eu_3","input_nat_1","input_nat_2","input_nat_3","input_loc_1","input_loc_2","input_loc_3","trust_eu","trust_nat","trust_loc","soc_trust","int_loc_1","int_loc_2","int_loc_3","int_loc_4","int_loc_5","int_nat_1","int_nat_2","int_nat_3","int_nat_4","int_nat_5","int_eu_1","int_eu_2","int_eu_3","int_eu_4","int_eu_5","ex_nat","ex_eu","ex_loc","eu_int","tv","radio","internet","social_media","read","climate","immigration","abilities","sub_of_study_not_grouped","participant.payoff","iaps.1.player.id_in_group","iaps.1.player.valence_response","iaps.1.player.arousal_response","treatment","iaps.1.player.iaps_image","iaps.1.group.id_in_subsession","iaps.1.subsession.round_number","iaps.2.player.id_in_group","iaps.2.player.valence_response","iaps.2.player.arousal_response","iaps.2.player.iaps_image","iaps.2.group.id_in_subsession","iaps.2.subsession.round_number","iaps.3.player.id_in_group","iaps.3.player.valence_response","iaps.3.player.arousal_response","iaps.3.player.iaps_image","iaps.3.group.id_in_subsession","iaps.3.subsession.round_number","iaps.4.player.id_in_group","iaps.4.player.valence_response","iaps.4.player.arousal_response","iaps.4.player.iaps_image","iaps.4.group.id_in_subsession","iaps.4.subsession.round_number","iaps.5.player.id_in_group","iaps.5.player.valence_response","iaps.5.player.arousal_response","iaps.5.player.iaps_image","iaps.5.group.id_in_subsession","iaps.5.subsession.round_number","iaps.6.player.id_in_group","iaps.6.player.valence_response","iaps.6.player.arousal_response","iaps.6.player.iaps_image","iaps.6.group.id_in_subsession","iaps.6.subsession.round_number","public_goods.1.player.id_in_group","contribution","public_goods.1.player.payoff","public_goods.1.group.id_in_subsession","public_goods.1.group.total_contribution","public_goods.1.group.individual_share","public_goods.1.subsession.round_number","iaps.1.eda","iaps.1.eda.zscore","iaps.2.eda","iaps.2.eda.zscore","iaps.3.eda","iaps.3.eda.zscore","iaps.4.eda","iaps.4.eda.zscore","iaps.5.eda","iaps.5.eda.zscore","iaps.6.eda","iaps.6.eda.zscore","pid","tolerating","tolerating.normalized","concealing","concealing.normalized","adjusting","adjusting.normalized","adjusting_with8","adjusting_with8.normalized","fa.tolerating","fa.concealing","fa.adjusting","fa.tolerating.normalized","fa.concealing.normalized","fa.adjusting.normalized","trust_index"
"Female",23,"kommunikation",0,2,0,0,0,"Active",3,0,1,1,0,2,2,4,3,2,2,3,4,2,2,5,3,2,2,3,3,4,4,3,3,4,4,4,3,2,3,3,2,2,2,4,4,4,3,2,2,3,2,2,2,4,4,4,2,2,2,3,2,2,1,3,4,4,3,3,3,4,3,3,7,5,6,7,3,2,4,2,3,3,4,3,3,3,2,3,2,2,4,4,3,3,6,1,1,2,1,3,9,6,0,"sprog og kommunikation",202.5,6,3,2,"Fear",5970,1,1,6,4,2,1052,1,2,6,3,2,3280,1,3,6,4,2,1302,1,4,6,3,3,1930,1,5,6,4,2,1110,1,6,2,50,202.5,3,150,112.5,1,2.03053276798705,5.78541154198111,0.174991420255095,0.490662238421801,0.24270998623128,0.713650024489424,0.0506301146552536,0.139692902962334,0.0282376829192251,0.104854048853906,1.03934735904588,2.92798702551864,"0b8d02378e7f4bfeb06e81c7949140eddbdd24d7ccbbaecab2441e5a4dc7fb2e",17,60,20,37.5,17,45.8333333333333,21,50,7.83,13.24,7.68,58.7628865979381,35.2914389799636,50,18
"Male",30,"musik",0,1,0,1,0,"Inactive",3,3,1,1,0,5,4,2,3,5,2,2,2,5,5,3,1,5,1,5,2,2,2,2,4,5,4,4,4,1,3,4,4,5,2,2,2,2,3,1,3,4,3,3,99,4,4,2,4,2,3,4,4,4,1,2,3,4,4,3,2,4,4,4,5,7,8,9,2,1,2,1,3,2,3,1,3,3,2,2,1,1,3,3,2,2,9,1,1,4,1,1,9,8,0,"musik",196.25,1,3,1,"Fear",1110,1,1,1,2,4,1302,1,2,1,2,2,5970,1,3,1,3,2,1052,1,4,1,3,1,3280,1,5,1,3,2,1930,1,6,1,75,196.25,1,175,131.25,1,1.54212827352128,9.68315861990511,1.00131973615531,6.24752838431262,0.569913062194057,3.57878166979406,0.19133038662575,1.17273674013724,0.592986361771986,3.7167410213931,0.450866772118654,2.80346228232677,"b8ef00a8875cabed810fdea2a567334b1152e56603916bf5bf4de3dde58912f4",10,25,36,87.5,14,33.3333333333333,16,32.1428571428571,3.56,24.5,4.46,22.0790378006873,86.5664845173042,18.5546875,20
"Male",22,"jura",0,1,0,0,0,"Active",2,6,1,1,1,5,4,2,5,4,2,5,1,5,5,4,5,5,3,5,4,4,5,4,5,5,5,5,3,1,2,1,1,1,2,4,4,5,2,1,2,1,1,1,1,5,5,5,3,1,1,1,1,1,1,1,4,4,1,4,3,4,1,1,6,1,4,10,1,1,4,1,1,4,4,4,3,1,3,3,3,5,4,2,5,2,8,1,1,4,4,3,7,8,0,"jura",158.75,4,4,1,"Joy",2091,1,1,4,3,1,1463,1,2,4,3,1,1670,1,3,4,3,1,2341,1,4,4,3,1,2370,1,5,4,3,1,2050,1,6,2,75,158.75,2,125,93.75,1,1.31455194338399,8.25422312165276,0.175874076780201,1.10358208492019,0.481269722528688,3.02115918740278,0.469718137354586,2.94959254359466,0.0748156709171549,0.473023566977637,0.69571771180641,4.36885867482005,"6abf6559c377dd164e8a96ec0b8e0aa228dbce55c39f11b1c07ffb6306866aa4",15,50,39,96.875,27,87.5,28,75,6.29,26.81,11.32,45.53264604811,97.0856102003643,85.546875,11
"Male",21,"jura",0,1,0,0,0,"Active",4,8,1,1,2,3,4,4,5,5,2,5,1,4,3,4,5,4,2,4,3,4,3,4,4,5,5,4,3,3,2,3,1,1,1,2,2,2,1,2,3,4,1,1,1,4,1,4,2,1,3,2,1,1,1,2,3,3,4,5,4,5,3,4,7,8,4,8,3,3,3,2,4,4,4,5,4,1,2,4,3,4,3,3,4,2,10,3,1,4,4,4,10,9,0,"jura",183.75,3,4,1,"Joy",2050,1,1,3,5,1,2370,1,2,3,5,1,2091,1,3,3,3,2,1670,1,4,3,4,2,2341,1,5,3,4,3,1463,1,6,1,50,183.75,2,125,93.75,1,2.34075047701985,4.62544181209452,1.25554773927999,2.49347908148291,0.173529083968294,0.345633082366532,3.2864103872673,6.5087443241625,0.188038023204139,0.363678720396361,1.33281069330094,2.66014716069301,"b3c8981e201968edef91f19da4a80bae1232c598339df1b2276f58d1274cd9e0",16,55,30,68.75,26,83.3333333333333,27,71.4285714285714,6.44,20.58,10.82,46.8213058419244,68.7158469945355,80.6640625,19
"Male",37,"terapi",4,1,1,1,1,"Inactive",5,2,1,1,1,2,4,5,5,1,5,4,2,3,2,5,4,2,5,2,4,5,5,4,3,3,3,2,4,1,3,3,3,3,2,3,2,3,3,1,4,3,3,2,1,2,2,2,4,1,4,3,3,3,2,2,2,2,3,3,3,2,3,3,4,4,3,7,4,4,4,3,2,4,4,4,3,2,3,3,3,3,3,4,4,3,10,2,2,3,4,2,10,10,0,"terapi/meditation/musik/kunst",152.5,6,4,2,"Joy",2050,1,1,6,4,2,2370,1,2,6,4,3,2341,1,3,6,5,2,2091,1,4,6,2,NA,1670,1,5,6,4,2,1463,1,6,2,100,152.5,3,150,112.5,1,1.15008429514197,5.66499243816083,1.50612524587018,7.39344908570835,0.757194044481286,3.72052445760689,0.677103564164131,3.3341540788631,0.64223345204615,3.14743808922177,0.699924525614307,3.42619780534121,"017c1f40d0982d8853598c83cf669a163e2690e034969373d0ebf94d66eb89b2",25,100,20,37.5,25,79.1666666666667,27,71.4285714285714,12.63,15.75,10.24,100,46.7213114754098,75,11
"Male",20,"statskundskab",0,1,1,1,1,"Inactive",5,8,2,1,2,3,4,3,2,3,3,2,3,3,3,5,4,3,3,2,4,2,4,4,2,2,1,2,1,3,3,4,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,4,3,4,5,5,4,5,4,3,7,8,7,5,4,3,4,3,1,5,5,4,5,1,4,4,4,5,2,99,99,99,5,3,2,4,4,3,2,7,0,"statskundskab",202.5,5,2,4,"Disgust",3140,1,1,5,1,5,3000,1,2,5,1,5,2352.2,1,3,5,2,4,3150,1,4,5,2,4,3010,1,5,5,2,3,3400,1,6,1,50,202.5,3,150,112.5,1,1.54769091890876,4.32291430753026,1.35387734319034,3.77474426162856,0.0986048770187647,0.267893180227365,0.162533971437109,0.442687574160504,0.288278438490088,0.789126373854509,0.383079947193329,1.05912036635563,"cba296aaac6a4b13fcf5acb212d4c5002b0b6ed1419838d217417df1729a8eb8",16,55,23,46.875,20,58.3333333333333,23,57.1428571428571,7.13,15.93,9.4,52.7491408934708,47.5409836065574,66.796875,22
"Male",22,"økonomi",0,1,0,0,0,"Active",3,8,1,1,2,2,3,4,4,2,2,4,3,3,2,4,5,2,3,4,4,3,4,5,3,5,5,3,4,3,4,3,2,3,2,3,3,2,4,3,4,3,2,2,1,2,2,2,4,3,4,4,2,2,1,3,2,2,4,3,4,4,3,1,6,7,7,7,4,3,4,2,2,3,3,3,4,3,3,2,2,4,4,2,4,2,6,2,2,3,3,4,7,6,0,"erhvervsøkonomi",196.25,2,5,2,"Joy",2050,1,1,2,4,2,1670,1,2,2,3,2,2370,1,3,2,4,1,2091,1,4,2,5,3,1463,1,5,2,3,1,2341,1,6,2,75,196.25,1,175,131.25,1,0.527009924996749,5.65937620689172,0.42017741668422,4.51703265612136,0.240414767769497,2.61873987800073,0.216112298301913,2.34915861117543,0.218942129739671,2.35606047389463,0.211648733248368,2.28430933191678,"0d0d7f4e4f167355860d887cdd6bc742cfc0bef9ef03af4ba33081bbe99d5c38",16,55,22,43.75,25,79.1666666666667,28,75,7.31,15.76,11.88,54.2955326460481,46.7668488160291,91.015625,20
"Female",26,"medicin",1,1,1,1,1,"Inactive",4,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,2,1,1,4,4,5,2,1,1,4,5,3,1,2,2,1,1,1,1,3,5,4,1,2,2,1,1,3,3,5,5,4,5,5,4,0,7,7,10,5,3,3,2,2,4,5,3,4,2,1,3,1,3,4,4,5,1,10,3,1,3,3,2,10,10,0,"medicin",171.25,1,1,1,"Disgust",3400,1,1,1,3,2,3140,1,2,1,1,3,3010,1,3,1,1,2,3150,1,4,1,1,3,3000,1,5,1,3,1,2352.2,1,6,1,100,171.25,1,175,131.25,1,2.21654921143022,7.56092695213406,1.13056925649528,3.85666399590945,1.14590503744052,3.90912161708731,1.453897858444,4.95997346584331,1.50008936257152,5.11731123724393,0.458631815453671,1.56413071330997,"7222e784643ab927b2792dbdceb8e1e8159e364dec787f6079bcd16830d6759e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"Female",20,"økonomi",0,1,0,0,0,"Active",3,5,1,1,2,1,3,5,4,2,4,3,2,1,1,5,5,1,2,3,2,5,1,3,4,3,2,3,2,1,3,3,3,2,1,3,2,3,3,1,2,3,3,2,1,3,3,2,1,1,2,3,3,3,1,2,5,4,2,5,3,3,4,3,10,9,9,10,1,1,1,1,3,4,4,2,2,2,2,2,1,2,3,2,2,2,8,1,2,4,4,3,8,8,0,"economics and business administration",190,3,5,1,"Joy",1463,1,1,3,5,1,2050,1,2,3,5,1,2370,1,3,3,5,1,2091,1,4,3,4,1,1670,1,5,3,5,1,2341,1,6,1,100,190,2,200,150,1,1.78341856499927,12.4336889206915,0.0626241421788548,0.436601262104366,0.133051565873929,0.92484747745181,0.129214823646277,0.903512068449673,0.140158209677626,0.974256898301465,0.135696951819562,0.947682839559543,"0dfb9ad266a4ef550be6427280b4b84baafa99d4485b587e6c88f378207cb085",21,80,14,18.75,20,58.3333333333333,22,53.5714285714286,10.25,10.69,8.5,79.553264604811,23.6794171220401,58.0078125,28
"Female",21,"økonomi",0,1,0,1,0,"Inactive",4,2,1,1,2,2,2,2,4,4,1,3,2,4,3,4,2,4,1,4,3,2,4,2,3,3,4,4,3,3,2,1,2,3,3,2,3,4,4,3,2,1,2,2,3,2,2,4,4,3,2,1,2,2,2,3,3,2,3,4,2,4,4,3,5,4,2,3,4,3,4,3,3,4,4,4,3,3,3,3,2,2,3,4,4,4,6,1,2,3,3,4,5,7,0,"økonomi",190,4,2,4,"Fear",1302,1,1,4,3,4,1930,1,2,4,2,3,1110,1,3,4,1,4,5970,1,4,4,1,4,1052,1,5,4,3,2,3280,1,6,2,100,190,2,200,150,1,1.08939052838247,13.8129961918523,0.223968751800111,2.82276803010989,0.0453780896365467,0.567310722422425,0.0863684867535468,1.07568926891512,0.0369501478981096,0.472254079432023,0.040475147039698,0.529622384267432,"6d3f511a004e6c4714a7daf609111d249c7ce6290e507f1dcd25bf962f3131c8",10,25,28,62.5,16,41.6666666666667,18,39.2857142857143,3.6,18.21,6.04,22.4226804123711,57.9234972677596,33.984375,11
